,total_cases
53827,3546.0
46814,11.0
18803,17385.0
56664,2294.0
14150,618836.0
23162,78788.0
10446,9.0
38330,4494.0
7285,2554.0
43758,910778.0
56348,7328882.0
44800,305.0
37506,258181.0
1815,130.0
31319,1813.0
139,34441.0
51947,11890.0
48300,115327.0
37581,36729.0
9473,2.0
20482,1357261.0
53662,721.0
21478,294.0
32713,38189.0
14703,29418.0
38993,60103.0
5915,2294.0
22349,1.0
38085,1935.0
24025,198370.0
12277,7107.0
5437,3.0
43930,84.0
30197,1918.0
8144,101770.0
51060,12432.0
34428,3181.0
23899,5898.0
21916,9371.0
13533,12056.0
6580,141936.0
45937,275905.0
19805,3782.0
32613,8956.0
27578,951.0
46107,4.0
5686,7769.0
37828,774009.0
1794,112.0
23392,4220.0
51388,27740.0
5531,30.0
41015,1.0
22583,4238.0
31249,1239.0
37561,16727.0
45901,170639.0
32106,17473.0
33420,293.0
58264,10120364.0
43177,135367.0
8867,109.0
4620,164.0
7643,141.0
455,3906.0
30079,17.0
12241,5632.0
14134,537663.0
41745,312911.0
16296,106060.0
21186,21.0
42957,2057.0
21451,24.0
47248,2343.0
54811,74.0
10818,70445.0
11976,864.0
12080,883.0
56316,6023278.0
30324,124.0
33904,5659.0
3033,21212.0
50047,1.0
44208,8955.0
1613,23.0
12246,5774.0
14649,14759.0
54760,2147578.0
6169,92.0
119,29147.0
38189,7.0
56588,1202.0
57507,541.0
35352,10.0
19058,223072.0
13198,147454.0
52966,2792.0
2041,228195.0
1345,70.0
24602,706.0
30883,1.0
43473,176468.0
40270,307418.0
34913,51194.0
10309,4782.0
9525,1469.0
53635,537.0
29699,43118.0
55747,2.0
42716,40415.0
50662,23316.0
16216,94640.0
22148,1614.0
36339,233.0
49905,671468.0
35988,1021.0
24848,721.0
27162,106136.0
29890,10952.0
37681,55408.0
5705,10490.0
49636,3181.0
39636,15013.0
38621,1169.0
18662,7119.0
45768,1014.0
45068,84.0
55980,406058.0
44949,52.0
39020,63731.0
21167,14.0
8707,524.0
3523,4.0
39368,62945.0
49885,470973.0
1275,8586.0
10354,4866.0
31386,2958.0
15763,3747.0
16041,221070.0
21369,30.0
2215,18.0
30007,148877.0
47173,1916.0
2009,77815.0
24986,97424.0
57474,189.0
48221,8252.0
35478,288.0
41254,604.0
15885,91969.0
8704,515.0
14218,359.0
27834,194993.0
8637,395.0
49939,1046132.0
43109,120095.0
29551,1290.0
5162,42797.0
58643,2047.0
8832,1.0
17757,3410.0
18818,21216.0
40518,7764.0
43011,56910.0
16811,3071.0
53935,117.0
45024,64.0
48743,1462.0
15482,11739.0
18353,27.0
51517,40645.0
48501,2618.0
15878,85355.0
45472,1934.0
38577,1094.0
48880,589886.0
8918,123.0
58597,1906.0
54545,158762.0
19495,9254.0
48459,722.0
40908,115919.0
19711,3330.0
58284,14289359.0
15670,136183.0
27193,164434.0
46798,11.0
33419,241.0
24725,721.0
31577,3723.0
4170,51.0
43504,373474.0
